common_voice_pt_38405974|Bolívia, Paraguai, Venezuela, Paquistão, Turquia, Chile, Myanmar, Afeganistão
common_voice_pt_38405975|bisturi, cureta, espátula, punção, canulação, retina, porta-agulha, trefina
common_voice_pt_38405976|Franjas, uniforme de gala, oficiais, franco-atiradores
common_voice_pt_38405977|Diário da Justiça
common_voice_pt_38405980|gânglios simpáticos, parassimpáticos, salivação, brônquios, vesícula biliar
common_voice_pt_38405981|gelo, fumaça do diabo, pônei, bomba, caimão, laje, abridor de olhos, kryptonita, lancha, nuvem
common_voice_pt_38405982|protesto
common_voice_pt_38405983|deprecante, deprecar, derrogação, ab-rogação
common_voice_pt_38405984|agorafobia, adenomiose, alvéolos, amaurose fugaz, anasarca, anca, anemia, hemácias, eritrócitos, aneurisma, anosmia
common_voice_pt_38405992|guevarismo, foquismo, bolivarianismo, revolucionário, nacionalismo, extrema-esquerda
common_voice_pt_38405993|Lesa-pátria, Sônia Guajajara
common_voice_pt_38405995|Saariana, saariano, terras austrais e antárticas
common_voice_pt_38405996|ângulo sólido, vazão, fluxo, torque, específico, condutividade térmica, potência, massa, densidade
common_voice_pt_38405997|Montagem da peça belga desmontável de montanha de cinco polegadas e meia
common_voice_pt_38405998|fosgênio, aceptor, nucléofilo, reativo, reagente, polimerizar, dióis, diaminas, poliuretano
common_voice_pt_38406000|averbação
common_voice_pt_38406001|ordenará
common_voice_pt_38406008|lavrar, arar, descompactá-la, degelo, aeração, semeadura, arejamento, minhocas, corretivos de acidez
common_voice_pt_38406009|santo daime, união do vegetal, seitas, hematoencefálica, neuroquímica
common_voice_pt_38406011|autoclavável, cautério, monopolar, capilar, obeso, higiênica, fórmica, cinta, freios
common_voice_pt_38406012|Roupa suja se lava em casa.
common_voice_pt_38406013|inalado, ingerido ou injetado
common_voice_pt_38406016|birremes, galé, velas, remos, epicentro
common_voice_pt_38406021|monopolar, fenestrada, torácica, otomano, poltrona, estofada
common_voice_pt_38406022|O projeto commonvoice precisa de diversidade, vamos fazer propaganda do projeto na internet
common_voice_pt_38406023|devolução
common_voice_pt_38406024|audiências
common_voice_pt_38406026|quadriláteros, probabilidade, quociente, lançamento, aritmética, escalar, cosseno, seno, progressão aritmética
common_voice_pt_38406027|Ou é normal ficar como "não processado"?
common_voice_pt_38406028|quarteadores de amostras, prensas hidráulicas, orvalho, moinhos multiuso, fertilizantes, martelos
common_voice_pt_38406029|sinais, binário, circuitos eletrônicos internos
common_voice_pt_38406030|declaração
common_voice_pt_38406032|procurador-geral, sucumbência, vencida, decorrentes, súmula, extrato, resumo, compêndio, reiteradas, exaradas, versando
common_voice_pt_38406033|bens imóveis que lhes assegurem o pagamento
common_voice_pt_38406034|agrária
common_voice_pt_38406039|É dando que se recebe.
common_voice_pt_38406044|Fernando Pessoa
common_voice_pt_38406045|Édito de Milão, bárbaros, ocidente, oriente
common_voice_pt_38406046|visuais e auditivas, estramónio
common_voice_pt_38406048|comprometer-se
common_voice_pt_38406050|Social-liberalismo, liberais, liberal
common_voice_pt_38406051|Hoje é segunda-feira.
common_voice_pt_38406053|tomador na marra, toqueiro, totó, cagueta, trabucar, trabuco, trampo, tranca, tranqueira
common_voice_pt_38406055|execuções
common_voice_pt_38406057|domínio
common_voice_pt_38406058|financiamento, mariposa cigana, parasitoides, vespas, conservação
common_voice_pt_38407659|decadência, monocrática, veredito
common_voice_pt_38407660|denegação
common_voice_pt_38407661|O meu trampo tá foda
common_voice_pt_38407662|subníveis, radial, recuo por crateras verticais, recalque, corte, enchimento, aterro
