common_voice_pt_34567100|Tapes
common_voice_pt_34629766|Esperando a pessoa trabalhar em casa
common_voice_pt_34629767|Dez anos é muito longo
common_voice_pt_34629836|Olá Ann.
common_voice_pt_34629837|Itaoca
common_voice_pt_34629838|Seja audaz quando for editar
common_voice_pt_34629840|Bentinho quase que não sai de lá.
common_voice_pt_34629892|Japi
common_voice_pt_34629894|Se em teu formoso céu, risonho e límpido
common_voice_pt_34629896|Normas de conduta e demais ensaios
common_voice_pt_34629897|Goioerê
common_voice_pt_34630243|Nunca permita que ele durma na represa.
common_voice_pt_34630245|Eu garanto a você.
common_voice_pt_34630247|Parece que eles sabem alguma coisa aqui, dentro dos pulmões.
common_voice_pt_34630249|O que nós fizemos?
common_voice_pt_34630250|a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública
common_voice_pt_34630287|Salto do Lontra
common_voice_pt_34630290|Inácio Martins
common_voice_pt_34630292|Quando chove em fevereiro, tudo corre bem.
common_voice_pt_34630294|Será um momento.
common_voice_pt_34630297|Superar o relacionamento passado
common_voice_pt_34630351|Ribeirão do Largo
common_voice_pt_34630353|Então
common_voice_pt_34630354|Soa eles
common_voice_pt_34630355|Conselheiro Mairinck
common_voice_pt_34630394|Eles não oferecem uma fragrância agradável, que não é a sua força.
common_voice_pt_34630396|Colunista de política afirmou se tratar de um crime de ódio
common_voice_pt_34630397|Pedra Bela
common_voice_pt_34630398|Bernarda ficou surpresa.
common_voice_pt_34630400|Sua casca é mais alta que sua mordida.
common_voice_pt_34630474|O Greyhound, tente em janeiro.
common_voice_pt_34630475|Florestal
common_voice_pt_34630476|o civilmente identificado não será submetido a identificação criminal
common_voice_pt_34630477|Areado
common_voice_pt_34630478|Antônio João
common_voice_pt_34630542|O policial foi truculento em sua abordagem
common_voice_pt_34630544|Está meia hora ou um quarto atrasado até chegar?
common_voice_pt_34630545|Caparaó
common_voice_pt_34630547|Vulcão em erupção nas Canárias
common_voice_pt_34630583|Ministrou as aulas com consternação
common_voice_pt_34630584|Encontrando erros, você vai se preocupar!
common_voice_pt_34630585|Higienize a ferida e coloque um curativo
common_voice_pt_34630586|Rio Espera
common_voice_pt_34630587|Fórum Econômico Social
common_voice_pt_34630616|Brejo da Madre de Deus
common_voice_pt_34630621|Campinas do Sul
common_voice_pt_34630624|Belém de Maria
common_voice_pt_34630625|Chama-se tia de Calella porque se pensava que hoje era meu aniversário.
common_voice_pt_34630627|Que bom!
common_voice_pt_34630665|Quem quer que anseie um bezerro, a vaca desperdiça.
common_voice_pt_34630666|Os setores emergentes que poderiam ser relevantes.
common_voice_pt_34630668|Ibirapuitã
common_voice_pt_34630670|Jardim Alegre
common_voice_pt_34630672|Assassinou o guarda municipal e tesoureiro do partido: um crime político
common_voice_pt_34630699|Aruanã
common_voice_pt_34630700|Monitorar os relatórios de inclusão no Plano de Inspeção Territorial.
common_voice_pt_34630701|Fortaleza do Tabocão
common_voice_pt_34630702|Água, Senhor, que vinho você tem?
common_voice_pt_34630703|Querência
common_voice_pt_34644672|Punição por desacato a servidor público
common_voice_pt_34644673|Começa a Revolução Bolchevique
common_voice_pt_34644674|De grão em grão a galinha enche o papo
common_voice_pt_34644675|Camilo riu outra vez:
common_voice_pt_34644676|Piraí
common_voice_pt_34644742|Dois dias depois
common_voice_pt_34644743|O mercador esfregou as mãos de contente.
common_voice_pt_34644745|O fazendeiro sente falta se ele se afasta da terra.
common_voice_pt_34644747|O tempo estará seco às vezes, com pratos ensolarados.
common_voice_pt_34644748|Angelim
common_voice_pt_34644874|Bocaina de Minas
common_voice_pt_34644875|Serrana
common_voice_pt_34644877|Exu
common_voice_pt_34644878|Desenvolver a psicografia
common_voice_pt_34644879|Poloni
common_voice_pt_34645042|Conselhos do velho, do aviso do céu.
common_voice_pt_34645045|Mas Sangonera voltou a encolher para o barco sem obedecer ao mandato.
common_voice_pt_34645048|Visou o gol e deu um chute certeiro
common_voice_pt_34645049|A verdade era verde e ele bebeu um burro.
common_voice_pt_34645050|Garibaldi
common_voice_pt_34645169|Nós damos a cada um o nosso.
common_voice_pt_34645170|Você me entende
common_voice_pt_34645171|Camapuã
common_voice_pt_34645173|Cândido Rodrigues
common_voice_pt_34645174|O presidente ligou para irmãos do assassinado: 'um absurdo', disse a viúva
common_voice_pt_34645326|Este trem vai para Swansea?
common_voice_pt_34645327|É temporada de borboletas
common_voice_pt_34645328|Conceição do Araguaia
common_voice_pt_34645329|Desterro de Entre Rios
common_voice_pt_34645331|Quem é uma loira com asas vermelhas?
common_voice_pt_34645483|Sapucaia
common_voice_pt_34645484|É um código!”, disse a garota, bem satisfeita		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645485.mp3	694d17ff48bc793c8d7eb3390c0b4a7a1166b5281f0e2cecb31ea020266c7f86	Amigo da mesa, pouca confiança.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645486.mp3	a037a2eb9d5e4352e2e04a2d9dbe4e82d80eed850b393b9a36289caa38690565	Romaria de Finados de Juazeiro do Norte		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645488.mp3	9ea9367435b55b9ac77a1c951c2a4f29b404a036447380749c869f3488239983	O homem é mais fácil de conseguir do que manter.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645582.mp3	9c8177cb16ed9b42fe07ff973ead035e45efbe24516b319001332d4e445e3503	Que saco!		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645585.mp3	9fd9702b3d6b2db538aac64265da01e64bb75290877cd72d5631e0a14387d736	Matelândia		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645587.mp3	99a46b40ed66ad45c416bbcb62b4bd59d8f7b02a207bbbc260cb36cd0f6b8bb9	E o teu futuro espelha essa grandeza		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645589.mp3	2e818eec26340b493873a0167d5cfa5c23d62096750a93ccfba2c9ef56e90edb	O tatuador não cobrou muito		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645590.mp3	85363ea7964c549119e730d8a26c41549833af2a45c1a82d6de25f2737a46c1e	Jumirim		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645680.mp3	99933e98cbb4d40dcc06cea2bce25ee7f05d97b519048b2f8d54f33e5a0c58e3	Sapeaçu		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645681.mp3	8b662d86736192066020121357690b79ec58603d1fbf2ef9799876af081db36d	Não perca tempo: compre já o nosso produto		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645682.mp3	9876d2ce9d2ad631963710b5edbdc077dd981fab7ae1965758c8c16ab3efcb38	Bannach		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645683.mp3	497ce3189f86c6f0948bdd0c9426cc17c5610d72eb5ab40f80e3077f6cdcf1de	Lutadora de karatê		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645684.mp3	9b16cf079a3acdece9763b91a90a0a986d09d93119cfe2b6345d75491dbb3be2	Ter fé não significa possuir dogmas		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645925.mp3	9d575e8d9f85abc58b726f260ec1050d3d325dd5fa4a07ae6883686c6783b42f	Conchas		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645926.mp3	8fc2e45c806fc708588e315ff2b2cdd0e02485f986d3ad6fef773418b1d68306	Quebrangulo		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645927.mp3	9b6164d7c2c84af03705d0a00f3a1f28d71f5ac29f4d97235862df94d878df33	Nova Canaã Paulista		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645928.mp3	9ac00e2b4bedec18c965f5da43dd68b93690b45f694a1564a3d48a428e31c032	Itaqui		6	3	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645929.mp3	95347d2ca03263e260c314a999b3692105332738efb397abc42e96df618e38bd	Saiu apressado após a chamada		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34645999.mp3	4930d7a68671f9c87751019799199522e0afafdd1eab700b361add33b5f1b4cd	Wallace e Gromit estão ligados.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646001.mp3	88c867ef10a12d7afc196255c627e57e6e1ab743a9535bd7446b9cd253e49ac6	Contudo, uma promessa de tantos anos...		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646002.mp3	9ce30bade2017ae1f72e4645e7218dca90ffff2b46cb95c68f1e2a08d4781aac	Presidente Médici		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646003.mp3	9a7beae967e031bf50541d97fdeb4b99e3a4b03f3d3119330940b64e7efea330	Quem bebe muito, dorme um pouco.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646006.mp3	a0b21908645782f909fdcb2b7dde8f0c0de26204aa72e74d0ec2935e7659c122	a soberania dos veredictos;		6	3	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646061.mp3	966d98da38572e0b2dd8c557be68ef36f0bae0f3611902ecf579ebf7e230d308	Milhã		6	3	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646062.mp3	79fc6f57f13a541e814294acdcd148608e2066adc285f15b5add7270dec7968b	Considero-me idealista, e tenho propósitos firmes que me instam a contribuir		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646063.mp3	7df0f371041fcc0c7f820a45a170ac2ca22823ab9667e50d4151ae14e981c087	Quantos pães você comprou?		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646065.mp3	a0282b47dd54f98141c546980435f2eb79a3ea93bb76bf88193e0b81514bec58	Joca Marques		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646066.mp3	97ac49d7ff82353b7214a9fe10fb92a9b8be0c4a8d99bca08e4ebcd4722d5a2c	Maiquinique		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646119.mp3	71bde3cd6fcf3c6ac40f81f8954f43da97883e7af9c81790aadb14fbd9e50c05	Eu fiquei chocado.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646120.mp3	940c63b7732a335b543e1e7448dd2433899d1912657ad649fa3e585d96fd7e73	Se o inverno é alto, a safra é boa.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646121.mp3	80786e24bedff8f1b0f2a919802fd3fe4fc85c1aeb499d1c2fb0e2c753446d2e	Vargem Bonita		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646122.mp3	9dac9b1d567f0b5215b2bbdcb4a56372012078f5593c48bc50d030ae5f18be73	Para o homem ocupado, não há um longo dia.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646123.mp3	893eb868550fbd8b03e32c496ab0ba9ab5289d8b4329fa2c9921a1050535c2a7	Dia longo, peixe curto.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646173.mp3	5637abed7acc7dec6e492df5fc469e003efeb7ebfb81677925425331f505bec0	Peabiru		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646174.mp3	8a8ad5a374fc483a6e187dc4eca3aa4ed1b511654dec89d80a2ae4fd3ae52f74	Para quem não tem sementes, agosto é março.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646175.mp3	9f1d7bb537b11d5ca89b310c825aca58311d703e573495eb3729b82fad8c4ab5	Se o galo canta muito, a água está muito próxima.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646176.mp3	932a6d70318c748ff352d7fe7481c78dd713a1ccc7af4414e510b9ed39d96cf3	Santa Agnés, mais uma hora.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646177.mp3	9159b23924738af3c13ef23f7ab103d4dd00b97763369a9020c45f7e7f699517	Videira		3	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
